ESNH-BAS-BLG1B-L7-01		LBADTN1923AC678	ADTN20320158	10.65.60.15
ESNH-BAS-BLG1B-L5-01		LBADTN1923AD082	ADTN203200A0	10.65.60.17
ESNH-BAS-BLG1B-L2-01		LBADTN1923AC862	ADTN20320277	10.65.60.18
ESNH-BAS-G-01-02		LBADTN1923AC871	ADTN203200ab	10.65.60.12
ESNH-BAS-G-01-01		LBADTN1923AC776	ADTN203201d9	10.65.60.13
ESNH-BAS-B1-01			LBADTN1923AC916	ADTN20320096	10.65.60.11
ESNH-BAS-B1-01-2		LBADTN1923AC838	ADTN20320119	10.65.60.10
ESNH-BAS-B2-01			LBADTN1923AD357	ADTN203201c4	10.65.60.8
ESNH-BAS-B3-01			LBADTN1923AD023	ADTN20320A00	12345
ESNH-BAS-BLG1-L7-01		LBADTN1923AD625	ADTN2032023C	10.65.60.21
ESNH-BAS-BLG1-L3-01		LBADTN1923AD547	ADTN20320273	10.65.60.20
ESNH-BAS-BLG1-L2-01		LBADTN1923AD443	ADTN20320279	10.65.60.19
ESNH-BAS-BLG1A-L7-01		LBADTN1935AD183	ADTN20320237	10.65.60.16
ESNH-BAS-BLG1A-L6-01		LBADTN1923AD156	serial		1234
ESNH-BAS-BLG1A-L3-01		LBADTN1923AD056	serial		123	
ESNH-BAS-BLG1A-L2-01		LBADTN1923AD104	serial		123
ESNH-BAS-G-02-01		LBADTN1923AC695	ADTN203200c3	10.65.60.7
ESNH-BAS-G-02-02		LBADTN1923AC933	ADTN20320098	10.65.60.5
ESNH-BAS-B1-02		LBADTN1923AD086	ADTN203201d6	10.65.60.1
ESNH-BAS-B2-02		LBADTN1923AC991	ADTN2032026c	10.65.60.6
ESNH-BAS-B2-01		LBADTN1923AC715	ADTN2032025b	10.65.60.4
ESNH-BAS-B3-02		LBADTN1923AD150	ADTN2032027B	10.65.60.9
ESNH-BAS-MCR-B1-01		LBADTN1935AD182	ADTN203201d2	10.65.60.14

